feature,importance
sentiment_negative,0.08950100781959663
bitch,0.08184480285069194
char_count,0.07827899629568949
word_count,0.07320519614970065
sentiment_neutral,0.06444694097729492
bitches,0.03329545525602052
smog_index,0.03219435166309646
rt,0.031026125602242025
hoes,0.02682912994943699
pussy,0.026470881675655023
hoe,0.019616943135064575
fog_index,0.017117148244298223
caps_ratio,0.016806984831593978
flesch_score,0.01600532707877804
sentiment_positive,0.015373760435089989
ass,0.015362706889512755
shit,0.013305990262551528
fuck,0.011428593310403063
nigga,0.009362296457429432
people,0.008647395851414792
8220,0.00759614733082178
question_count,0.00751601672829331
fucking,0.0071053059842299884
8221,0.007098798901983556
stupid,0.006772358550452493
128514,0.006139276993421743
state,0.005736111278952994
ain,0.005564883459523409
niggas,0.004382936289279757
128514 128514,0.004193971014751771
yo,0.0036604011556279742
years,0.00326972100949932
think,0.003228614583083367
lol,0.0029512379776887973
oregon,0.0029348725307858587
got,0.0028711905274930354
like,0.002822895268684686
good,0.0028128696166782063
faggot,0.0028100846946419377
just,0.0025066189247770656
great,0.0023917099643290937
government,0.002327314416886745
yankees,0.002320240015316411
alaska,0.0022914937743980647
public,0.002238241187901931
comments,0.002196499944931202
http,0.002150833518480897
person,0.0020689847825780382
did,0.0020300974268807905
time,0.002028679983538824
way,0.001929168127057035
trash,0.0019138368527914559
damn,0.0018125048984919722
niggah,0.001770999387619659
charlie,0.0017213604802589228
bird,0.0016266689907761874
amp,0.0015975340726907881
law,0.0015895578771682167
dumb,0.001538107557717839
article,0.0013804107655426441
nigger,0.00136928567508347
doesn,0.0013601009081881275
don,0.0013507577709488713
ya,0.0013478591557215798
8230,0.0013210224231946191
right,0.001314153979923295
eugene,0.0013020160390622823
fag,0.001291413150820039
agree,0.0012824230248133764
does,0.0012771642783500528
cunt,0.001230371345489262
bad,0.0012281717474803442
city,0.001215324179748185
tax,0.0012124192213151456
dick,0.001193452627485037
new,0.0011850271592303617
actually,0.0011844004271477702
year,0.0011820787133442637
pay,0.0011751240127324573
fuckin,0.0011323500641637326
yellow,0.0010986453516717318
comment,0.0010905343603097235
retarded,0.0010655116311051554
things,0.0010647770086642083
make,0.0010373558611471824
idiot,0.0010356566109904714
im,0.0010305826053011464
problem,0.0009833699072220236
idiots,0.0009740852288246574
point,0.0009401593293339801
work,0.0009280590119229122
vote,0.0009270700066316611
lmao,0.0008993391524976161
www,0.000896107269526814
wit,0.0008755546579598832
going,0.0008440188758939464
civil,0.0008389818156059393
business,0.0008356638447125201
use,0.0008355416288156856
com,0.000810915468473538
far,0.0007891571389670989
girl,0.0007739750946223672
bout,0.0007700844531363778
trump,0.0007233892864778468
wrong,0.0007172029765449648
ignorant,0.0007072342617969732
political,0.0007028565377712446
stupidity,0.0006954384563696055
thing,0.0006886912984186232
property,0.0006806948846675389
federal,0.0006665534580749199
taxes,0.0006532397464144295
portland,0.0006207210468385764
hate,0.0006141636907402486
need,0.0005944640541770187
isn,0.0005907863329234667
love,0.0005862011237870423
sure,0.000580087413156399
mr,0.0005792756455965639
really,0.000567594422887343
place,0.0005673760477721647
crap,0.000557539488370923
lil,0.0005540165503916504
exclamation_count,0.000550145554742142
help,0.000547473836423665
wanna,0.0005419622353774983
fact,0.0005407996475924026
pathetic,0.0005338230060736933
cost,0.0005300464725351992
pussies,0.0005296878238876064
bitch ass,0.0005291910166354392
aint,0.000527962196236096
believe,0.0005268576142375209
oil,0.0005132560265082884
white,0.0005088915561571747
dat,0.0005087618149572407
niccas,0.0005085336374524811
likely,0.0005081923252569306
world,0.0005069394266396858
based,0.0004948781354444929
didn,0.00048570652220623786
long,0.0004841359103326794
money,0.0004799734645181204
yall,0.00047921543694050896
birds,0.0004756788630470155
country,0.0004752475824037086
story,0.0004668404483762265
read,0.0004653998515447263
thanks,0.0004652988670522922
local,0.0004504538497541557
best,0.00044258432786285784
court,0.00043616486734037645
128557,0.00043549237697670175
support,0.00043355628652588655
like bitch,0.00043267883701750455
want,0.000421294340502061
obama,0.0004019139213679823
nig,0.0003931934671967275
gotta,0.00039310099942708836
case,0.00039199764682027285
lot,0.0003877421976422372
maybe,0.00038546471363156933
tho,0.00038113250468225054
history,0.0003810593255888584
white trash,0.000381011612076481
bernie,0.0003762230625854222
job,0.00037005180268211493
ve,0.0003662799827848653
nicca,0.0003650617497303807
hillary,0.00035031082967942184
ur,0.0003462293763377387
hope,0.0003440044177814124
retard,0.0003425891222316763
twitter,0.00034083302636164943
ugly,0.00033771596072305074
dont,0.00033427759771855164
know,0.0003342544631079603
got hoes,0.0003332561220676425
yes,0.0003309591563438894
able,0.00032942633319476856
opinion,0.00032799275986587046
question,0.00032080393087995904
bad bitch,0.0003191143519784624
bad bitches,0.0003164955975705131
issue,0.0003126441780933317
nigguh,0.000306137745011037
girls,0.0003015932891599558
students,0.0003002134760149918
cause,0.00029984357772044423
thank,0.00029698245700102236
idea,0.0002930149834755467
fat,0.00028992758172877007
ho,0.0002897251338755664
tryna,0.00028968739807041903
free,0.0002888258898741109
man,0.00028757362959038135
garbage,0.0002868348278205003
ridiculous,0.0002849807400366298
hell,0.0002832487878830926
states,0.0002787689957431662
128175,0.00027543937478517717
guy,0.00027257294292009043
loyal,0.0002722810986410243
fucked,0.00027130021931723845
used,0.00026993641148109125
ghetto,0.00026948755535810396
65039,0.00026523848369642465
faggots,0.0002646879109833247
dyke,0.00026459297837446837
post,0.00025497973529823415
real,0.00025444083272810954
yo bitch,0.0002544401499216364
president,0.00024796780985509085
brownies,0.00024687644614032297
change,0.0002462846326117438
monkey,0.00024533954161330555
128530,0.00024505729575156595
niggers,0.00024415570333468663
building,0.00024346562938979774
community,0.00024116453259904506
current,0.00024049739191366238
128553,0.00023746238014061335
http www,0.00023685953094566812
stuff,0.00023453976487145044
let,0.00023294911606454538
colored,0.0002328847506023302
eat pussy,0.00023258740947798722
republican,0.0002314867176155064
haha,0.00023044155913097582
away,0.00022971572901529043
interesting,0.00022841224587475374
personal,0.00022641826210610742
reason,0.00022253673932347133
news,0.0002170871416485366
care,0.00021688054143949583
gonna,0.00021539145804520048
mock,0.00021455799032632457
understand,0.0002108109611865433
oreo,0.00021054446244506245
majority,0.0002104903216119722
stop,0.00020882358196113078
say,0.0002083034830303258
tell,0.00020746222766852997
bitch http,0.0002027078722708422
look,0.00020065728051326675
128514 128557,0.00020045415603046527
fool,0.00020025006311332795
fuck bitch,0.00019939430201536195
clinton,0.00019884930860977285
da,0.00019816467729612958
fags,0.0001967303613020657
ago,0.00019362982289458216
gon,0.00019361844473779978
american,0.00019284981986229512
queer,0.00019117983830633294
provide,0.00019075208886155283
better,0.00018814931863323864
said,0.00018786026193482898
ass bitch,0.0001858406552131534
gt,0.00018559628743053847
instead,0.00018487058529451265
sorry,0.00018466202563961545
course,0.0001843728197761655
yeah,0.00018165079073911397
office,0.0001810493800494978
ll,0.00017976609387100224
bruh,0.0001789872601745418
yankee,0.00017891348334548316
won,0.00017805889222602888
mad,0.0001766217646397432
come,0.00017485991181529203
day,0.0001746181844011555
nice,0.00017446105066897492
education,0.000173578000435694
jihadi,0.0001698528855702041
idiotic,0.00016903521448740068
